id,name,art,prod,year,income
di_aabl,Aaron Blaise,6,,,
di_adsh,Adam Shankman,6,,,
di_alma,Alex Mann,6,,,
di_alrr,Alonso Ramirez Ramos,6,,,
di_alza,Alan Zaslove,6,,,
di_anle,Anthony Leondis,6,,,
di_anml,Angus MacLane,6,,,
di_anst,Andrew Stanton,6,,,
di_arst,Art Stevens,6,,,
di_baco,Barry Cook,6,,,
di_besh,Ben Sharpsteen,6,,,
di_biro,Bill Roberts,6,,,
di_bisp,Bill Speers,6,,,
di_boga,Bobs Gannaway,6,,,
di_boha,Bob Hathcock,6,,,
di_brabi,Brad Bird,6,,,
di_brch,Brenda Chapman,6,,,
di_brfe,Brian Fee,6,,,
di_brle,Brad Lewis,6,,,
di_brpi,Brian Pimental,6,,,
di_brra,Bradley Raymond,6,,,
di_brsm,Brian Smith,6,,,
di_buma,Burny Mattinson,6,,,
di_byho,Byron Howard,6,,,
di_chbu,Chris Buck,6,,,
di_chma,"Charles Martin ""Chuck"" Jones",6,,,
di_chmi,Charles Mintz,6,,,
di_chsa,Chris Sanders,6,,,
di_chsh,Chuck Sheetz,6,,,
di_chwi,Chris Williams,6,,,
di_clge,Clyde Geronimi,6,,,
di_daha,David Hand,6,,,
di_dami,Dave Michener,6,,,
di_dasc,Dan Scanlon,6,,,
di_daso,David Soren,6,,,
di_dedebl,Dean DeBlois,6,,,
di_doco,Donovan Cook,6,,,
di_doha,Don Hall,6,,,
di_dohahn,Don Hahn,6,,,
di_dosw,Doug Sweetland,6,,,
di_ergo,Eric Goldberg,6,,,
di_erla,Eric Larso,6,,,
di_fbta,"Frederick Bean ""Tex"" Avery",6,,,
di_fobe,Ford Beebe,6,,,
di_frcl,Francis Glebas,6,,,
di_frni,Frank Nissen,6,,,
di_gabri,Gaetan Brizzi,6,,,
di_gatr,Gary Trousdale,6,,,
di_gelu,George Lucas,6,,,
di_gesc,George Scribner,6,,,
di_gigu,Gino Guzzardo,6,,,
di_grhe,Graham Heid,6,,,
di_guri,Guy Ritchie,6,,,
di_halu,Hamilton Luske,6,,,
di_hayo,Harold Young,6,,,
di_hebu,Hendel Butoy,6,,,
di_hese,Henry Selick,6,,,
di_isffre,"Isadore ""Friz"" Freleng",6,,,
di_jaal,James Algar,6,,,
di_jacu,Jack Cutting,6,,,
di_jafr,James Frawley,6,,,
di_jagu,James Gunn,6,,,
di_jaki,Jack Kinney,6,,,
di_jami,Jamie Mitchell,6,,,
di_jele,Jennifer Lee,6,,,
di_jere,Jerry Rees,6,,,
di_jica,Jim Capobianco,6,,,
di_jiha,Jim Handley,6,,,
di_jika,Jim Kammerud,6,,,
di_joco,Josh Cooley,6,,,
di_jofa,Jon Favreau,6,,,
di_jojo,Joe Johnston,6,,,
di_joka,John Kahrs,6,,,
di_jola,John Lasseter,6,,,
di_jolo,John Lounsbery,6,,,
di_jome,Joshua Meador,6,,,
di_jomu,John Musker,6,,,
di_jora,Joe Ranft,6,,,
di_josa,John Sanford,6,,,
di_jowh,Joss Whedon,6,,,
di_jufa,Jun Falkenstein,6,,,
di_keli,Kevin Lima,6,,,
di_kiwi,Kirk Wise,6,,,
di_klha,Klay Hall,6,,,
di_lamo,Larry Morey,6,,,
di_lecl,Les Clark,6,,,
di_lema,Les Mayfield,6,,,
di_leun,Lee Unkrich,6,,,
di_maan,Mark Andrews,6,,,
di_maas,Matt Aselton,6,,,
di_madi,Mark Dindal,6,,,
di_mafo,Marc Forster,6,,,
di_majo,Maurice Joyce,6,,,
di_maoca,Matthew O'Callaghan,6,,,
di_miga,Mike Gabriel,6,,,
di_milaba,Michael LaBash,6,,,
di_mimo,Mike Moon,6,,,
di_nagr,Nathan Greno,6,,,
di_nofe,Norman Ferguson,6,,,
di_nowr,Norman Wright,6,,,
di_pabr,Paul Brizzi,6,,,
di_pasa,Paul Satterfield,6,,,
di_pedo,Pete Docter,6,,,
di_peha,Peter Hastings,6,,,
di_peho,Peggy Holmes,6,,,
di_pepe,Perce Pearce,6,,,
di_peso,Peter Sohn,6,,,
di_phjo,Phil Johnston,6,,,
di_pihu,Pixote Hunt,6,,,
di_raja,Randy Jamison,6,,,
