id,name,art,prod,year,income,,
fig_arlo,Arlo,2,,,,,
fig_balifounispray,Barley Lightfoots Unicorn Spraying,2,,,,,Codebuch: art 1: Figur/Gegenstand/Tier 2:Film
fig_carlfrewalkingstick,Carl Fredricksen's walking stick,2,,,,,
fig_cocoshguitar,Cocos Shiny Guitar,2,,,,,
fig_cruz,Cruz Ramirez,2,,,,,
fig_dcaboom,Duke Caboom,2,,,,,
fig_dochud,Doc Hudson,2,,,,,
fig_dug,Dug,2,,,,,
fig_finn,Finn McMissile,2,,,,,
fig_forwood,Forrest Woodbush,2,,,,,
fig_hal,Hal,2,,,,,
fig_hank,Hank,2,,,,,
fig_increble,Mr. Incredible,2,,,,,
fig_incrediblesfamily,The Incredibles family,2,,,,,
fig_lmcqueen,Lightning McQueen,2,,,,,
fig_lohbear,Lots-O'-Huggin' Bear,2,,,,,
fig_luigi,Luigi,2,,,,,
fig_sully,Sully,2,,,,,
fig_tape,DunBroch Family Tapestry,2,,,,,
fig_woody,Woody,2,,,,,
mv_abuli,A Bug's Life,1,3,1998,363.300.000,,
mv_brave,Brave,1,3,2012,540.400.000,,
mv_cars,Cars,1,3,2006,462.200.000,,
mv_cars3,Cars3,1,3,2017,383.900.000,,
mv_coco,Coco,1,3,2017,807.100.000,,
mv_dory,Finding Dory,1,3,2016,1.029.000.000,,
mv_inc,The Incredibles,1,3,2004,633.000.000,,
mv_inc2,The Incredibles2,1,3,2018,1.243.000.000,,
mv_inout,Inside Out,1,3,2015,857.600.000,,
mv_onward,Onward,2,3,2020,n.a.,,
mv_ratatou,Ratatouille,1,3,2007,620.700.000,,
mv_tgoodi,The Good Dinosaur,1,3,2015,332.200.000,,
mv_toyst3,Toy Story 3,1,3,2010,1.067.000.000,,
mv_toyst4,Toy Story 4,1,3,2019,1.018.000.000,,
mv_up,Up,1,3,2009,735.100.000,,
mv_walle,Wall-E (Film),1,3,2008,533.300.000,,
